id,time,temp,sex,wbc,rbc,hgb,hct,spun,mcv,mch,mchc,plts,grp_ord
F2,0 Hour,Ref,Female,6.3,5.82,13.9,41.4,41,71.2,23.9,33.6,713,0 Hour
F3,0 Hour,Ref,Female,3.8,5.74,12.5,38.5,38,67.1,21.8,32.5,889,6 Hour
F4,0 Hour,Ref,Female,5.2,6.2,13.7,42.3,41,68.3,22.1,32.4,1122,24 Hour
F5,0 Hour,Ref,Female,6.1,5.83,13.4,40.7,40.5,69.8,23,32.9,952,48 Hour
F6,0 Hour,Ref,Female,5.6,5.52,13.2,39.3,40,71.2,23.9,33.6,941,72 Hour
F7,0 Hour,Ref,Female,5.9,6.12,14.2,41.8,41.5,68.3,23.2,34,839,
F8,0 Hour,Ref,Female,4.6,5.96,13.6,40.4,40,67.8,22.8,33.7,843,
F9,0 Hour,Ref,Female,3.4,5.88,13.3,39.5,38,67.2,22.6,33.7,910,
F10,0 Hour,Ref,Female,9.8,6.74,15.3,44.3,44.5,65.7,22.7,34.5,1627,
F11,0 Hour,Ref,Female,6.1,5.83,13.1,40.4,41,69.3,22.5,32.4,1106,
F12,0 Hour,Ref,Female,3.3,5.27,12.8,37.2,38,70.5,24.3,34.4,1050,
M1,0 Hour,Ref,Male,5.4,5.98,12.3,37.9,39.5,63.3,20.6,32.5,746,
M2,0 Hour,Ref,Male,7.4,6.54,13.8,43.7,42,66.8,21.1,31.6,876,
M4,0 Hour,Ref,Male,6.3,6.7,13.4,40.7,41,60.7,20,32.9,877,
M5,0 Hour,Ref,Male,7.8,6.18,13.2,39.1,40,63.3,21.4,33.8,851,
M6,0 Hour,Ref,Male,6.6,5.61,12.2,36,38,64.1,21.7,33.9,790,
M7,0 Hour,Ref,Male,8.3,6,11.9,37.9,39,63.2,19.8,31.4,503,
M8,0 Hour,Ref,Male,8.8,6.09,12.7,39.6,40,65.1,20.9,32.1,1270,
M9,0 Hour,Ref,Male,4.1,6.53,13.2,41.1,41,63,20.2,32.1,1060,
M10,0 Hour,Ref,Male,9.2,5.64,12.7,38,40,67.3,22.5,33.4,1039,
M11,0 Hour,Ref,Male,8.1,6.34,12.8,38.7,42,61.1,20.2,33.1,1190,
M12,0 Hour,Ref,Male,8.1,6.61,14.1,41.4,43,62.7,21.3,34.1,1137,
F2,6 Hour,Ref,Female,6.3,5.87,13.9,42.8,41,72.9,23.7,32.5,892,
F2,6 Hour,RT,Female,6.5,5.98,14.1,43.8,41.5,73.3,23.6,32.2,927,
F3,6 Hour,Ref,Female,3.9,5.64,13.1,38.9,38,68.9,23.2,33.7,1072,
F3,6 Hour,RT,Female,4.2,5.86,13.2,40.3,39,68.8,22.5,32.8,1102,
F4,6 Hour,Ref,Female,5,6.16,14.2,43.2,42,70.1,23.1,32.9,1295,
F4,6 Hour,RT,Female,5.5,6.33,14.2,43.6,42,68.9,22.4,32.6,1362,
F5,6 Hour,Ref,Female,5.9,5.93,13.9,41.7,41,70.3,23.4,33.3,1264,
F5,6 Hour,RT,Female,6.2,5.98,13.8,42.2,43,70.6,23.1,32.7,1154,
F6,6 Hour,Ref,Female,5.6,5.82,13.8,42.2,40,72.5,23.7,32.7,1198,
F6,6 Hour,RT,Female,5.6,6.24,13.7,45.5,41,72.9,22,30.1,1186,
F7,6 Hour,Ref,Female,6,6.28,14.5,43.7,41,69.6,23.1,33.2,1250,
F7,6 Hour,RT,Female,6.8,6.49,14.8,45.4,44,69.9,22.8,32.6,1278,
F8,6 Hour,Ref,Female,4.5,6.04,13.5,42.3,40,70,22.4,31.9,1062,
F8,6 Hour,RT,Female,4.2,6.06,13.5,41.9,41,69.1,22.3,32.2,1097,
F9,6 Hour,Ref,Female,3.4,6.18,13.4,41.7,38,67.5,21.7,32.1,1185,
F9,6 Hour,RT,Female,3.4,6.08,13.2,41.1,39,67.6,21.7,32.1,1171,
F10,6 Hour,Ref,Female,9.3,6.78,14.8,43.9,44.5,64.8,21.8,33.7,1852,
F10,6 Hour,RT,Female,5.4,6.73,14.7,44.1,45.5,65.5,21.8,33.3,2074,
F11,6 Hour,Ref,Female,5.8,6.04,14.2,42.2,41,69.9,23.5,33.6,1311,
F11,6 Hour,RT,Female,5.8,6.18,14.3,44,42,71.2,23.1,32.5,1419,
F12,6 Hour,Ref,Female,3.5,5.78,13,41,37.5,71,22.5,31.7,1326,
F12,6 Hour,RT,Female,3.3,5.62,12.7,40.1,40,71.4,22.6,31.7,1347,
M1,6 Hour,Ref,Male,5.5,6.05,12.8,40.6,39.5,67.1,21.2,31.5,919,
M1,6 Hour,RT,Male,5.3,6,12.3,40.4,40,67.4,20.5,30.4,1007,
M2,6 Hour,Ref,Male,7.4,6.16,13.3,42.4,42,68.8,21.6,31.4,1096,
M2,6 Hour,RT,Male,7.3,6.22,13.6,43,43,69.2,21.9,31.6,1201,
M4,6 Hour,Ref,Male,6.1,6.44,13.1,41,41,63.7,20.3,32,1114,
M4,6 Hour,RT,Male,6.1,6.69,13.3,42.9,41,64.2,19.9,31,1226,
M5,6 Hour,Ref,Male,7.8,6.23,13,40.9,40,65.7,20.9,31.8,1103,
M5,6 Hour,RT,Male,7.9,6.15,12.8,41.2,40,67,20.8,31.1,981,
M6,6 Hour,Ref,Male,6.9,5.85,12.2,38.8,38,66.3,20.9,31.4,967,
M6,6 Hour,RT,Male,6.7,5.77,12.1,38.7,38,67,21,31.3,1030,
M7,6 Hour,Ref,Male,7,5.72,12.2,37.6,39,65.7,21.3,32.4,882,
M7,6 Hour,RT,Male,8,5.74,12.5,37.8,39,65.8,21.8,33.1,1174,
M8,6 Hour,Ref,Male,8.6,6.11,12.7,40.9,40.5,67,20.8,31.1,1359,
M8,6 Hour,RT,Male,7.9,5.97,12.6,40.1,40.5,67.2,21.1,31.4,1603,
M9,6 Hour,Ref,Male,4.3,6.26,13.4,41.3,41,65.9,21.4,32.4,1203,
M9,6 Hour,RT,Male,4.4,6.21,13.2,41.2,41,66.3,21.3,32,1195,
M10,6 Hour,Ref,Male,9.4,5.84,12.3,40.1,41,68.7,21.1,30.7,1121,
M10,6 Hour,RT,Male,9,5.71,12.2,39.4,40,69,21.4,31,1217,
M11,6 Hour,Ref,Male,8,6.18,13,40.3,42,65.2,21,32.3,1384,
M11,6 Hour,RT,Male,8.2,6.48,13.2,42.4,42,65.5,20.4,31.1,1495,
M12,6 Hour,Ref,Male,8,6.33,13.9,41.5,43,65.5,22,33.5,1379,
M12,6 Hour,RT,Male,7.8,6.32,13.9,41.8,43,66.1,22,33.3,1412,
F2,24 Hour,Ref,Female,6.8,6.22,14.4,45.7,40,73.4,23.2,31.5,962,
F2,24 Hour,RT,Female,6.9,6.13,14.2,44.3,42.5,72.2,23.2,32.1,929,
F3,24 Hour,Ref,Female,4.8,5.94,13.4,40.7,38,68.6,22.6,32.9,1035,
F3,24 Hour,RT,Female,6,6.04,12.9,41,43.5,67.9,21.4,31.5,1009,
F4,24 Hour,Ref,Female,5.3,5.89,14.1,40.5,41,68.7,23.9,34.8,1192,
F4,24 Hour,RT,Female,6,6.38,14.1,43.8,45,68.6,22.1,32.2,1422,
F5,24 Hour,Ref,Female,6.1,5.86,13.8,41.7,41,71.1,23.5,33.1,1151,
F5,24 Hour,RT,Female,6.1,6.19,13.8,43.3,44.5,70,22.3,31.9,1284,
F6,24 Hour,Ref,Female,5.8,5.86,13.7,42.5,40,72.5,23.4,32.2,1298,
F6,24 Hour,RT,Female,5.9,5.97,13.9,42.7,43,71.6,23.3,32.6,1222,
F7,24 Hour,Ref,Female,6.2,6.4,14.2,44.4,42,69.3,22.2,32,1198,
F7,24 Hour,RT,Female,6.6,6.45,14.5,45,47,69.7,22.5,32.2,1339,
F8,24 Hour,Ref,Female,4.8,5.95,13.8,42.7,39,71.8,23.2,32.3,1133,
F8,24 Hour,RT,Female,5.1,5.77,13.5,40.5,43.5,70.2,23.4,33.3,975,
F9,24 Hour,Ref,Female,3.6,6.04,13.4,41.2,38,68.2,22.2,32.5,1111,
F9,24 Hour,RT,Female,5.7,5.91,13,40.2,43,68.1,22,32.3,1081,
F10,24 Hour,Ref,Female,9.5,7.06,15.5,46.2,44.5,65.4,22,33.5,1705,
F10,24 Hour,RT,Female,6.2,6.74,14.4,44.6,44.5,66.1,21.4,32.3,1764,
F11,24 Hour,Ref,Female,6.1,6.07,13.7,42.9,41,70.7,22.6,31.9,1391,
F11,24 Hour,RT,Female,5.8,6.06,13.7,42.6,45,70.3,22.6,32.2,1422,
F12,24 Hour,Ref,Female,3.4,5.74,12.7,40.8,38,71.1,22.1,31.1,1290,
F12,24 Hour,RT,Female,4.6,5.89,12.7,41.6,42,70.6,21.6,30.5,1268,
M1,24 Hour,Ref,Male,5.7,6.11,12.7,40.8,39.5,66.7,20.8,31.1,761,
M1,24 Hour,RT,Male,5.3,5.99,12.8,40.2,42,67.1,21.4,31.8,1010,
M2,24 Hour,Ref,Male,7.6,6.31,13.2,43.7,42,69.2,20.9,30.2,948,
M2,24 Hour,RT,Male,7.4,6.44,13.5,44.5,46,69.1,21,30.3,1805,
M4,24 Hour,Ref,Male,6.4,6.47,13.6,41.7,41,64.5,21,32.6,946,
M4,24 Hour,RT,Male,5.9,6.63,13.4,42.1,46,63.5,20.2,31.8,1804,
M5,24 Hour,Ref,Male,8,6.04,12.6,39.7,40,65.7,20.9,31.7,1100,
M5,24 Hour,RT,Male,8.2,6.32,13,41.5,43.5,65.7,20.6,31.3,1754,
M6,24 Hour,Ref,Male,7,5.67,12.1,38,38,67.1,21.3,31.8,1153,
M6,24 Hour,RT,Male,7.3,5.8,12.7,38.5,42,66.3,21.9,33,1581,
M7,24 Hour,Ref,Male,7.3,5.79,11.7,37.6,39,65,20.2,31.1,1317,
M7,24 Hour,RT,Male,6.6,5.61,12,37.2,41,66.3,21.4,32.3,2247,
M8,24 Hour,Ref,Male,8.8,6.15,12.9,41.3,41,67.2,21,31.2,1989,
M8,24 Hour,RT,Male,8.1,6.06,13.2,41.3,44,68.1,21.8,32,2756,
M9,24 Hour,Ref,Male,4.5,6.13,13.4,40.8,41,66.5,21.9,32.8,1740,
M9,24 Hour,RT,Male,6.5,6.05,13.2,40.1,45,66.3,21.8,32.9,1670,
M10,24 Hour,Ref,Male,9.2,5.63,12.5,38.7,40,68.8,22.2,32.3,1576,
M10,24 Hour,RT,Male,8.8,5.71,12,39.6,43,69.3,21,30.3,2020,
M11,24 Hour,Ref,Male,9,6.34,13.1,40.4,42,63.7,20.7,32.4,1955,
M11,24 Hour,RT,Male,11.8,6.26,12.8,40.1,44,64.1,20.4,31.9,2303,
M12,24 Hour,Ref,Male,8.2,6.4,14,43.6,43,68.2,21.9,32.1,1608,
M12,24 Hour,RT,Male,7.7,6.61,13.7,43.4,46,65.6,20.7,31.6,2375,
F2,48 Hour,Ref,Female,7.3,5.9,13.8,42.3,41,71.7,23.4,32.6,949,
F2,48 Hour,RT,Female,6.7,5.88,14.2,42.7,44,72.6,24.1,33.3,901,
F3,48 Hour,Ref,Female,4.8,5.98,12.9,40.8,38,68.2,21.6,31.6,1076,
F3,48 Hour,RT,Female,5.6,5.97,13,40.4,43.5,67.7,21.8,32.2,948,
F4,48 Hour,Ref,Female,5.6,6.23,13.9,42.6,41,68.4,22.3,32.6,1294,
F4,48 Hour,RT,Female,6,6.51,14.1,44.4,44,68.2,21.7,31.8,1522,
F5,48 Hour,Ref,Female,6.2,5.97,13.6,42.4,41,71.1,22.8,32.1,1337,
F5,48 Hour,RT,Female,6.6,6.24,14,44.3,44.5,71,22.4,31.6,1467,
F6,48 Hour,Ref,Female,6.1,5.92,13.6,42.3,40,71.4,23,32.2,1406,
F6,48 Hour,RT,Female,6.8,6.12,13.8,44.1,44,72,22.5,31.3,1462,
F7,48 Hour,Ref,Female,7.2,6.37,14.2,43.8,42,68.7,22.3,32.4,1612,
F7,48 Hour,RT,Female,7,6.55,14.6,45.8,48,69.9,22.3,31.9,1773,
F8,48 Hour,Ref,Female,4.9,5.98,13.8,42.3,40.5,70.8,23.1,32.6,1349,
F8,48 Hour,RT,Female,5.2,6,13.4,41.5,45,69.2,22.3,32.3,1210,
F9,48 Hour,Ref,Female,3.9,6.08,13.3,40.7,38.5,67,21.9,32.7,1366,
F9,48 Hour,RT,Female,3.8,6.05,13,40.8,43,67.5,21.5,31.9,1363,
F10,48 Hour,Ref,Female,10.3,7.19,15.5,46.7,46,64.9,21.6,33.2,2385,
F10,48 Hour,RT,Female,6.4,7.05,14.6,45.8,47.5,65,20.7,31.9,2719,
F11,48 Hour,Ref,Female,6.1,6.04,13.9,43.1,42,71.4,23,32.3,1752,
F11,48 Hour,RT,Female,6,6.25,14.2,43.8,45,70.1,22.7,32.4,2290,
F12,48 Hour,Ref,Female,3.4,5.79,12.9,41.1,39,70.9,22.3,31.4,1719,
F12,48 Hour,RT,Female,4.4,5.64,12.7,40,42.5,70.9,22.5,31.8,1719,
M1,48 Hour,Ref,Male,6.1,5.99,12.9,40,39.5,66.7,21.5,32.2,862,
M1,48 Hour,RT,Male,5.8,6,12.5,40.6,45,67.7,20.8,30.8,1113,
M2,48 Hour,Ref,Male,7.8,6.03,13.3,41.6,42.5,69,22.1,32,1289,
M2,48 Hour,RT,Male,8.4,6.18,13.5,42.8,47,69.3,21.8,31.5,1972,
M4,48 Hour,Ref,Male,5.9,6.48,13,41.4,41,63.9,20.1,31.4,1475,
M4,48 Hour,RT,Male,6.3,6.58,12.8,42.2,45,64.2,19.5,30.3,1740,
M5,48 Hour,Ref,Male,8,6.07,12.8,41.1,40,67.7,21.1,31.1,1544,
M5,48 Hour,RT,Male,8.8,5.94,12.7,40.2,45,67.6,21.4,31.6,1681,
M6,48 Hour,Ref,Male,7.7,5.81,12.1,39.3,38,67.6,20.8,30.8,1239,
M6,48 Hour,RT,Male,8.4,5.74,12.3,39.3,42.5,68.5,21.4,31.3,1396,
M7,48 Hour,Ref,Male,7.3,5.64,12.2,37.5,38,66.5,21.6,32.5,1659,
M7,48 Hour,RT,Male,6.3,5.8,12.2,39.2,42,67.5,21,31.1,2053,
M8,48 Hour,Ref,Male,9.2,5.8,12.6,39.3,41,67.7,21.7,32.1,2228,
M8,48 Hour,RT,Male,8.9,6.12,12.5,41.5,45.5,67.8,20.4,30.1,2939,
M9,48 Hour,Ref,Male,5.5,6.27,13.6,42.1,42,67.2,21.7,32.3,1810,
M9,48 Hour,RT,Male,5.9,6.27,13.4,42.8,47,68.2,21.4,31.3,1792,
M10,48 Hour,Ref,Male,9.4,5.67,12.5,39.5,40,69.6,22,31.6,1888,
M10,48 Hour,RT,Male,9.2,5.92,12.7,41.4,43,69.9,21.5,30.7,1916,
M11,48 Hour,Ref,Male,9.3,6.59,13.4,43.3,41.5,65.7,20.3,30.9,1708,
M11,48 Hour,RT,Male,8.9,6.27,13.3,41.4,47,66.1,21.2,32.1,2248,
M12,48 Hour,Ref,Male,8.4,6.37,13.8,42.3,43,66.4,21.7,32.6,2008,
M12,48 Hour,RT,Male,8.1,6.23,14,41.1,47,66,22.5,34.1,2583,
F2,72 Hour,Ref,Female,8.3,5.93,13.9,43.2,41,72.9,23.4,32.2,988,
F2,72 Hour,RT,Female,6.9,5.99,13.8,43.8,48,73.2,23,31.5,1027,
F3,72 Hour,Ref,Female,5.6,5.77,13.1,39.9,39,69.1,22.7,32.8,1068,
F3,72 Hour,RT,Female,5.1,5.94,13.1,42.5,43.5,71.6,22.1,30.8,993,
F4,72 Hour,Ref,Female,5.9,6.13,13.8,42.6,42.5,69.5,22.5,32.4,1441,
F4,72 Hour,RT,Female,6,6.24,14.2,43.5,44,69.7,22.8,32.6,1531,
F5,72 Hour,Ref,Female,7,5.89,13.9,41.5,42,70.4,23.6,33.5,1454,
F5,72 Hour,RT,Female,7.4,6.25,13.8,45,45,72,22.1,30.7,1350,
F6,72 Hour,Ref,Female,6.7,5.99,14,43.2,41,72.1,23.4,32.4,1555,
F6,72 Hour,RT,Female,6.8,6.05,13.7,44.5,47,73.5,22.6,30.8,1478,
F7,72 Hour,Ref,Female,7.8,6.39,14.5,44.5,43,69.6,22.7,32.6,1452,
F7,72 Hour,RT,Female,7,6.63,14.7,46.6,48.5,70.3,22.2,31.5,1615,
F8,72 Hour,Ref,Female,5.5,6.09,13.8,42.3,40,69.4,22.7,32.6,1467,
F8,72 Hour,RT,Female,5.2,5.95,13.4,43.4,45,73,22.5,30.9,1116,
F9,72 Hour,Ref,Female,4.7,5.99,13.3,40.6,41,67.7,22.2,32.8,1360,
F9,72 Hour,RT,Female,4.4,5.89,13,40.2,43,68.3,22.1,32.3,1142,
F10,72 Hour,Ref,Female,9.9,7.07,15,46.1,47,65.2,21.2,32.5,2501,
F10,72 Hour,RT,Female,6.2,6.85,14.5,45.2,48,66,21.2,32.1,2182,
F11,72 Hour,Ref,Female,6.3,5.88,14.2,41.6,42.5,70.8,24.1,34.1,1666,
F11,72 Hour,RT,Female,6.2,6.07,13.9,43.4,45,71.5,22.9,32,1786,
F12,72 Hour,Ref,Female,4.1,5.66,12.8,40.4,40,71.3,22.6,31.7,1685,
F12,72 Hour,RT,Female,4.5,5.62,12.8,41.4,47.5,73.7,22.8,30.9,1366,
M1,72 Hour,Ref,Male,7.5,6.09,12.6,41.2,39.5,67.7,20.7,30.6,792,
M1,72 Hour,RT,Male,6.5,5.9,12.7,40.7,44,69,21.5,31.2,1018,
M2,72 Hour,Ref,Male,9.5,6.24,13.8,43.8,42.5,70.2,22.1,31.5,1312,
M2,72 Hour,RT,Male,7.7,6.14,13.4,43.5,47,70.8,21.8,30.8,1470,
M4,72 Hour,Ref,Male,7.3,6.52,13.3,41.7,41,64,20.4,31.9,1238,
M4,72 Hour,RT,Male,6.8,6.43,13.3,42.1,46,65.5,20.7,31.6,1481,
M5,72 Hour,Ref,Male,8.8,5.93,12.7,39.4,40.5,66.5,21.4,32.2,1263,
M5,72 Hour,RT,Male,8.7,6.24,13.2,42.7,46,68.5,21.2,30.9,1118,
M6,72 Hour,Ref,Male,8.9,5.76,11.8,38.5,39,66.9,20.5,30.6,992,
M6,72 Hour,RT,Male,7.9,5.77,12,39.6,43,68.6,20.8,30.3,1029,
M7,72 Hour,Ref,Male,7.3,5.69,12.1,37.8,39,66.5,21.3,32,1452,
M7,72 Hour,RT,Male,6.5,5.67,11.9,39,43,68.8,21,30.5,1467,
M8,72 Hour,Ref,Male,10.2,6.01,12.9,41.2,41,68.6,21.5,31.3,1655,
M8,72 Hour,RT,Male,8.5,5.87,13,40,45.5,68.2,22.1,32.5,2222,
M9,72 Hour,Ref,Male,6.5,6.06,13.5,40.3,42,66.5,22.3,33.5,1200,
M9,72 Hour,RT,Male,4.8,6.25,13.5,42.8,48,68.5,21.6,31.5,1257,
M10,72 Hour,Ref,Male,10.2,5.62,12.6,39.5,40,70.3,22.4,31.9,1332,
M10,72 Hour,RT,Male,9.3,5.51,12.2,39.1,43,70.9,22.1,31.2,1279,
M11,72 Hour,Ref,Male,9.8,6.4,13.1,41.9,42,65.4,20.5,31.3,1413,
M11,72 Hour,RT,Male,9,6.32,12.7,41.5,46,65.6,20.1,30.6,1688,
M12,72 Hour,Ref,Male,9.1,6.48,13.9,43.3,43,66.8,21.5,32.1,1554,
M12,72 Hour,RT,Male,8.1,6.43,14,43.2,47,67.2,21.8,32.4,1659,
